resName1,PDB Classification,Uniprot Acc
MG,ISOMERASE,A8HTB8
FE2,HYDROLASE,Q50575
MN,HYDROLASE,O25949
NI,HYDROLASE,I3PA93
ZN,LYASE,A0A0M3KL20
ZN,HYDROLASE,Q5SH52
MG,HYDROLASE,P00817
ZN,HYDROLASE,P07024
ZN,HYDROLASE,O52063
ZN,HYDROLASE,Q06241
MN,HYDROLASE,A8WBX8
ZN,HYDROLASE,P9WHN9
ZN,HYDROLASE,C7C422
ZN,OXIDOREDUCTASE,O96496
ZN,HYDROLASE,P42676
MG,HYDROLASE(PHOSPHORIC MONOESTER),P21327
MG,TRANSFERASE,O33799
ZN,HYDROLASE,O93655
ZN,HYDROLASE,Q3T905
ZN,HYDROLASE,Q10740
MG,ISOMERASE,Q9RYA6
FE,OXIDOREDUCTASE,Q84AQ2
MG,LYASE,B2UCA8
ZN,OXIDOREDUCTASE,A1X808
ZN,HYDROLASE,P52699
FE,OXIDOREDUCTASE,P22869
MG,HYDROLASE,Q4VUZ3
ZN,TERNARY COMPLEX (ZYMOGEN),P00730
MN,ISOMERASE,5.4.2.1
FE,OXIDOREDUCTASE,P42106
ZN,HYDROLASE,Q45087
MN,TRANSFERASE,A0A0Y1PI62
MG,TRANSFERASE,Q26997
ZN,LYASE (OXO-ACID),P23589
MG,OXIDOREDUCTASE,Q58122
FE2,OXIDOREDUCTASE,Q2N410
ZN,METALLOCARBOXYPEPTIDASE,P06621
ZN,HYDROLASE,P10507
MG,"STRUCTURAL GENOMICS,
CU,OXIDOREDUCTASE,F6N9E7
MG,HYDROLASE,B9JE48
ZN,HYDROLASE,Q5ZZH8
ZN,LIGASE,P56690
MN,PHOSPHODIESTERASE,Q58346
MN,ISOMERASE,Q46822
MG,ISOMERASE(INTRAMOLECULAR OXIDOREDUCTASE),P12070
ZN,HYDROLASE (ACTING IN CYCLIC AMIDES),P04190
MN,ANTIBIOTIC BIOSYNTHESIS,P05326
FE,OXIDOREDUCTASE,G2NEL6
ZN,OXIDOREDUCTASE,
CU,OXIDOREDUCTASE,Q8TG94
FE,OXIDOREDUCTASE,A0QZ23
ZN,HYDROLASE,C6A2N7
MN,LYASE,P00864
ZN,HYDROLASE,Q81WF0
FE,OXIDOREDUCTASE,1.13.11.18
ZN,LYASE,F7VW42
CO,KETOLISOMERASE,P45687
ZN,HYDROLASE/PROTEIN BINDING,P22288
MG,HYDROLASE,P50308
ZN,HYDROLASE,Q7WVY1
ZN,HYDROLASE,A0A0R4I979
CO,LYASE,P16622
MN,ISOMERASE,Q9KCL9
MG,LIGASE,P21889
MN,NUCLEOTIDYLTRANSFERASE,P06766
ZN,HYDROLASE,P53184
ZN,OXIDOREDUCTASE,B2ZRE3
MG,TRANSFERASE,Q7Z0H0
MG,LYASE,P27695
MN,HYDROLASE,O69787
CU1,OXIDOREDUCTASE,P38993
MG,LYASE, 4.1.3.30"
MG,HYDROLASE(ENDORIBONUCLEASE),P0A7Y4
CO,AMINOPEPTIDASE,P56218
FE,OXIDOREDUCTASE,1.13.11.-
ZN,LIGASE,Q9ZHI0
MN,HYDROLASE,P53041
MG,TRANSFERASE,Q99558
CU,OXIDOREDUCTASE,P09172
CU,OXIDASE,Q16853
ZN,HYDROLASE,F2Z284
MG,HYDROLASE,O31156
ZN,HYDROLASE,Q9NZ08
MG,ENDONUCLEASE,P23657
NI,HYDROLASE,F4MWM7
ZN,OXIDOREDUCTASE,Q9WZ12
ZN,OXIDOREDUCTASE,Q04894
FE2,OXIDOREDUCTASE,O16025
ZN,hydrolase/hydrolase inhibitor,Q93009
CU,OXIDOREDUCTASE,Q5I7J0
ZN,LYASE,A3MWV9
CU1,ELECTRON TRANSPORT,P50057
ZN,HYDROLASE,P0A6K3
MG,TRANSFERASE,P26281
CU,OXIDOREDUCTASE,Q72HW2
CU,OXIDOREDUCTASE,Q72HW2
MN,HYDROLASE,Q4DSA0
ZN,LIGASE,P15042
ZN,LYASE,Q16790
ZN,HYDROLASE,Q704V1
MG,ISOMERASE,Q46822
MN,LYASE,P08954
ZN,HYDROLASE,Q9K578
CU,OXIDOREDUCTASE,Q1W6B1
MN,ISOMERASE,P08310
MG,HYDROLASE,H4USN4
ZN,HYDROLASE,Q12178
ZN,LYASE,A0A086SLX8
MG,LYASE,Q59643
ZN,OXIDOREDUCTASE,P39462
CU,OXIDOREDUCTASE,P46883
CU,OXIDOREDUCTASE,P19801
FE2,OXIDOREDUCTASE,P09917
ZN,TOXIN,Q90249
ZN,OXIDOREDUCTASE,P25984
CU,OXIDOREDUCTASE, 4.3.2.5"
NI,GENE REGULATION,Q8GUI6
MG,LYASE,P13513
CU,OXIDOREDUCTASE,Q12571
MG,METAL BINDING PROTEIN,Q384W3
FE,HYDROLASE,Q5KZU5
MN,ISOMERASE,Q8G9L1
FE2,OXIDOREDUCTASE,P09917
ZN,LYASE,Q64444
MN,HYDROLASE,P07824
MG,LYASE,P13513
MG,HYDROLASE,O26314
CU,OXIDOREDUCTASE,P00441
CO,HYDROLASE,P39900
ZN,OXIDOREDUCTASE,1.15.1.1
ZN,HYDROLASE,P0A6C1
CU,"OXIDOREDUCTASE,1.15.1.1
ZN,OXIDOREDUCTASE,A0ZPR9
ZN,OXIDOREDUCTASE,P00445
CU,OXIDOREDUCTASE,P00445
ZN,HYDROLASE,Q9L387
ZN,HYDROLASE,P09598
MG,HYDROLASE,P06229
MG,HYDROLASE,P06229
ZN,HYDROLASE,P32179
MG,OXIDOREDUCTASE,Q65XK0
ZN,"HYDROLASE,3.1.26.3
ZN,"HYDROLASE,3.1.26.3
CU,OXIDOREDUCTASE,Q9Y780
CU,OXIDOREDUCTASE,Q9Y780
CO,ISOMERASE,Q9ZAI3
MG,ISOMERASE,Q9ZAI3
ZN,HYDROLASE,A0A059Q5E8
ZN,HYDROLASE,P00634
ZN,OXIDOREDUCTASE,1.15.1.1
CU,OXIDOREDUCTASE,1.15.1.1
NI,HYDROLASE,P0C6T4
CU,OXIDOREDUCTASE,1.15.1.1
ZN,OXIDOREDUCTASE,1.15.1.1
MN,ISOMERASE,5.4.2.12
MN,ISOMERASE,5.4.2.12
ZN,HYDROLASE,Q9C9G4
ZN,OXIDOREDUCTASE,Q8WRF5
CO,TRANSFERASE,2.3.3.14
MG,TRANSFERASE,2.3.3.14
ZN,HYDROLASE,Q9WYJ7
CO,ISOMERASE(INTRAMOLECULAR OXIDOREDUCTASE),P12851
ZN,LIGASE,Q9X0G6
ZN,CHLOROPLASTIC MALATE DEHYDROGENASE,P17606
ZN,CHLOROPLASTIC MALATE DEHYDROGENASE,P17606
ZN,HYDROLASE,Q8GCY3
ZN,HYDROLASE,Q8GCY3
FE,OXIDOREDUCTASE,C1DFH7
ZN,LYASE,4.1.2.13
ZN,LYASE,4.1.2.13
ZN,HYDROLASE/IMMUNE SYSTEM,P61823
CU1,OXIDOREDUCTASE,P38993
CU,OXIDOREDUCTASE,Q16853
CU,OXIDOREDUCTASE,Q16853
CU,OXIDOREDUCTASE,P00441
CU,OXIDOREDUCTASE,B2L9C1
MG,TRANSFERASE,Q50859
ZN,OXIDOREDUCTASE,P08294
MG,LYASE,Q40577
MG,LYASE,Q40577
MG,ISOPRENOID SYNTHASE,Q40577
MN,"HYDROLASE,3.1.13.-
ZN,HYDROLASE,Q0KFV0
MG,HYDROLASE,Q01780
MG,TRANSFERASE,P26281
MN,OXIDOREDUCTASE,Q72GH6
ZN,HYDROLASE,P46076
MG,LIGASE,P08164
MG,TRANSFERASE,P33221
ZN,OXIDOREDUCTASE,A0A0F6SD02
MG,TRANSFERASE,P53355
ZN,HYDROLASE,P80561
ZN,HYDROLASE,O34598
ZN,HYDROLASE,Q89GW5
ZN,HYDROLASE,Q24451
MG,TRANSFERASE,P29320
MN,HYDROLASE,Q6TUJ5
MG,HYDROLASE,P35505
FE,OXIDOREDUCTASE,1.1.1.1
CU,OXIDOREDUCTASE,Q70KY3
MG,TRANSFERASE,P9WHM5
ZN,HYDROLASE,P44569
ZN,HYDROLASE,Q9RMI1
MG,LIGASE,Q63QJ9
CO,HYDROLASE,Q93LD7
ZN,HYDROLASE,Q93J45
MG,TRANSFERASE/TRANSFERASE inhibitor,Q2G0Q5
MG,LIGASE,O24872
FE,OXIDOREDUCTASE,1.13.11.3
MG,BIOSYNTHETIC PROTEIN,G7J7Q5
MN,"TRANSFERASE,Ribonuclease HI
MG,LIGASE,P07862
ZN,ISOMERASE,B4RLV9
ZN,HYDROLASE,3.4.13.9
MG,TRANSFERASE,P69441
ZN,HYDROLASE(C-TERMINAL PEPTIDASE),P00730
CU,OXIDOREDUCTASE,P36649
ZN,LYASE,P0AB74
ZN,HYDROLASE,Q16775
MG,LIGASE,O57980
MN,HYDROLASE,Q9RUY4
FE,HYDROLASE,3.1.4.16
MG,TRANSFERASE,P00558
MG,TRANSFERASE,P15790
CO,HYDROLASE,Q9A919
MN,HYDROLASE,P12955
MG,HYDROLASE,P10824
ZN,HYDROLASE,P0A434
MG,Lyase/OXIDOREDUCTASE,D1A3K8
MN,TRANSFERASE,S6G476
MG,Transferase/transferase inhibitor,P45983
NI,HYDROLASE,Q51502
MN,ISOMERASE,5.4.2.12
MN,TRANSFERASE,2.4.1.101
ZN,HYDROLASE,B4EXV8
MG,TRANSFERASE,P51955
MG,Transferase/transferase inhibitor,Q9Y6E0
CO,HYDROLASE,P53582
MN,HYDROLASE,Q5SK18
CU,OXIDOREDUCTASE,1.13.11.24
MN,TRANSFERASE,P03007
ZN,HYDROLASE,Q3JJN0
MOS,OXIDOREDUCTASE, 1.17.3.2"
ZN,HYDROLASE,Q4EFN5
ZN,HYDROLASE,B5DCA0
ZN,HYDROLASE,Q9I685
ZN,OXIDOREDUCTASE,Q9Y9P9
ZN,LYASE,Q71WW4
ZN,OXIDOREDUCTASE,P46154
FE,OXIDOREDUCTASE,Q8VX11
ZN,TRANSFERASE,P56060
ZN,HYDROLASE,B0VA03
MG,TRANSFERASE/TRANSFERASE INHIBITOR,P9WFX5
ZN,PHOSPHOTRIESTERASE,P45548
MN,LYASE/OXIDOREDUCTASE,P51016
MG,LIGASE,P18843
ZN,TRANSFERASE,Q5SHV8
MG,ISOMERASE,Q13907
MG,ISOMERASE,5.3.2.-
FE,OXIDOREDUCTASE,Q50497
MN,HYDROLASE,A0A0H2VD83
FE,OXIDOREDUCTASE,1.13.11.5
ZN,HYDROLASE,Q47112
MG,ISOMERASE,P77366
CU,OXIDOREDUCTASE,A2QS62
CU,OXIDOREDUCTASE,A2QS62
ZN,HYDROLASE,Q8G9Q0
MG,OXIDOREDUCTASE,A3FJ48
MG,HYDROLASE,B6YTD6
CO,HYDROLASE(PHOSPHORIC DIESTER),P00644
MG,HYDROLASE,P33174
MG,BIOSYNTHETIC PROTEIN,X5IYJ5
ZN,OXIDOREDUCTASE,P0A9S3
FE2,OXIDOREDUCTASE,Q96323
FE,OXIDOREDUCTASE,1.13.11.37
MG,LYASE/ANTIBIOTIC,Q59643
ZN,HYDROLASE,Q5SIP1
MG,ISOMERASE,Q9P8C9
MG,TRANSFERASE,P33221
MG,LYASE,Q47Q21
MG,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,P00374
MG,HYDROLASE,P0DMV8
FE,OXIDOREDUCTASE,Q9WZS7
CU,OXIDOREDUCTASE,A0A075DN54
ZN,HYDROLASE,P0C6X7
ZN,HYDROLASE,P45494
MG,LIGASE,Q08220
CO,HYDROLASE,P00817
MG,PHOSPHORIBOSYLTRANSFERASE,P0A9M5
ZN,HYDROLASE,P51512
ZN,OXIDOREDUCTASE,O31851
MG,PROTEIN TRANSPORT/TRANSFERASE,P62330
FE,OXIDOREDUCTASE,1.13.11.3
ZN,HYDROLASE,Q96YM2
MG,TRANSFERASE,P29468
CO,TRANSFERASE/TRANSFERASE INHIBITOR,O87198
MG,LYASE,Q8ZNF9
CO,ISOMERASE,5.1.99.1
MG,LYASE,B4EFV2
MG,LIGASE,A0A0J9X1Z8
FE2,HYDROLASE,A0A0E1CHI1
FE2,OXIDOREDUCTASE, 1.13.11.13"
MG,LIGASE,Q9V228
NI,OXIDOREDUCTASE,A2VA43
ZN,HYDROLASE,A0A1L1QK30
MG,TRANSFERASE,P9WFF7
MG,TRANSFERASE,Q9FHD7
MG,HYDROLASE,Q58989
ZN,TRANSFERASE,O66496
NI,HYDROLASE,Q57ZL6
ZN,HYDROLASE,P25774
NI,LYASE,P58687
ZN,OXIDOREDUCTASE,P35630
MN,TRANSFERASE, 2.4.1.133"
MG,HYDROLASE,3.1.30.-
ZN,METALLOPROTEASE,P12821
MN,TRANSFERASE,Q9P2W7
MG,LIGASE,D5SL78
ZN,"STRUCTURAL GENOMICS,
ZN,OXIDOREDUCTASE,Q93RE9
CO,HYDROLASE,P0A434
MG,TRANSFERASE,P28327
MG,LIGASE,Q2A4B6
ZN,LYASE/LYASE INHIBITOR,Q96554
ZN,OXIDOREDUCTASE,D2Y3F4
MG,OXIDOREDUCTASE,Q13IQ2
NI,OXIDOREDUCTASE,D4N500
MG,TRANSFERASE,Q16654
MG,TRANSFERASE,P28523
MG,TRANSFERASE,A0A140UHQ1
MG,HYDROLASE,A6L916
ZN,OXIDOREDUCTASE,O13702
MG,HYDROLASE,Q84G06
MG,HYDROLASE,Q9K100
FEO,OXIDOREDUCTASE,Q86QZ1
MG,LYASE,Q9HUU1
MG,LIGASE,Q9M426
ZN,HYDROLASE,A0R291
ZN,TRANSFERASE/TRANSFERASE inhibitor,2.7.11.11
FE,OXIDOREDUCTASE,B1MIR1
MG,TRANSFERASE,Q9LUT0
ZN,"Hydrolase,3.5.2.6
ZN,ISOMERASE,Q2YKG6
CU,OXIDOREDUCTASE(OXYGEN ACCEPTOR),P37064
MG,TRANSFERASE,P21964
MG,TRANSFERASE,P60472
MG,PROTEIN KINASE,P24941
ZN,LYASE,P17067
ZN,LYASE,Q9KCV1
MG,TRANSFERASE/TRANSFERASE INHIBITOR,P20035
MG,LYASE,Q1QUN0
MN,TRANSFERASE,Q9JZG1
ZN,ISOMERASE,Q2SYG4
MG,HYDROLASE,P24855
ZN,TRANSFERASE,Q2M2I8
ZN,OXIDOREDUCTASE,P00338
MG,TRANSFERASE,Q00168
MG,TRANSFERASE/TRANSFERASE INHIBITOR,2.7.11.4
MN,TRANSFERASE,A0QLU8
MG,METAL BINDING PROTEIN,Q2G1L5
ZN,HYDROLASE/HYDROLASE INHIBITOR,P95493
MG,LIGASE,P04425
MN,HYDROLASE,3.1.3.11
MG,LIGASE,Q9U8D3
MG,LIGASE,P0A7D4
ZN,OXIDOREDUCTASE,1.1.1.1
MN,OXIDOREDUCTASE,P9WNZ5
MG,LIGASE,Q2K340
ZN,HYDROLASE,Q9A4T4
ZN,TRANSFERASE,Q8F3Q1
MG,TRANSFERASE,Q55813
MG,LYASE,A1CII2
FE,OXIDOREDUCTASE,C6FI44
ZN,TRANSFERASE,B0SN40
ZN,HYDROLASE,Q5U807
MG,TRANSFERASE, 2.7.11.23"
MG,HYDROLASE,Q144Z1
MG,TRANSFERASE,P20035
MG,TRANSFERASE,P12998
ZN,HYDROLASE,Q7LYT7
MN,TRANSFERASE ACTIVATOR/TRANSFERASE,"2.4.1.22
MG,HYDROLASE,3.1.4.46
MG,TRANSFERASE,Q15418
MG,ISOMERASE,Q12GE3
MG,TRANSFERASE,Q8NNM1
MG,LYASE, 5.5.1.1"
MG,TRANSFERASE,P41743
MG,LIGASE,O57883
MG,TRANSFERASE, 2.5.1.10"
MG,TRANSFERASE/TRANSFERASE INHIBITOR,P37268
MG,TRANSFERASE,P00523
MG,LYASE,4.1.1.21
CO,LYASE,P15007
ZN,HYDROLASE,P07711
ZN,LYASE,P53615
MG,HYDROLASE,Q6G709
ZN,ISOMERASE,P25081
ZN,OXIDOREDUCTASE (CH-OH(D)-NAD(A)),P26325
ZN,OXIDOREDUCTASE,O42703
NI,OXIDOREDUCTASE,Q7RYZ9
MG,BIOSYNTHETIC PROTEIN,X5IYJ5
MG,TRANSFERASE/TRANSFERASE SUBSTRATE,2.5.1.15
ZN,OXIDOREDUCTASE,1.1.1.1
MG,LIGASE,P28650
MG,TRANSFERASE,P00552
MN,OXIDOREDUCTASE,1.1.1.39
MG,TRANSFERASE,Q4YRR5
MG,TRANSFERASE/ANTIBIOTIC,P0A3Y5
MG,HYDROLASE/HYDROLASE INHIBITOR, 3.1.7.8"
MN,TRANSFERASE,"2.4.1.-
ZN,LYASE, class II"
MG,HYDROLASE,Q10905
MN,OXIDOREDUCTASE,P41229
ZN,OXIDOREDUCTASE,Q41931
ZN,HYDROLASE,H2EMX8
ZN,HYDROLASE,Q47112
MG,"LYASE,
MG,SUGAR BINDING PROTEIN,O87988
MG,LYASE,A1CII2
MG,TRANSFERASE,Q5FAC0
MG,TRANSFERASE/PEPTIDE, 2.7.11.1"
MG,TRANSFERASE,P49841
MG,TRANSFERASE,P11309
MG,HYDROLASE,O27555
MG,TRANSFERASE,P07128
MN,TRANSFERASE,P25500
MG,HYDROLASE,B1MGB2
MG,TRANSLATION/OXIDOREDUCTASE,A0A140N6W0
MG,TRANSFERASE,O00311
MG,TRANSFERASE,P43405
ZN,OXIDOREDUCTASE,1.1.1.1
ZN,HYDROLASE,A0A0H3K7S1
ZN,OXIDOREDUCTASE,
NI,OXIDOREDUCTASE,P39956
ZN,HYDROLASE,A0PQS3
ZN,OXIDOREDUCTASE,Q58122
MG,TRANSFERASE,Q15208
FE,DIOXYGENASE,1.13.11.8
ZN,LYASE,P9WPJ9
MG,Transferase/Transferase Inhibitor,P9WI81
MOO,HYDROLASE, 3.1.3.2"
MG,"LIGASE,6.3.4.18
MG,TRANSFERASE,O95747
ZN,OXIDOREDUCTASE,Q52078
MG,COMPLEX (LYASE/HYDROLASE),P04896
MG,MOTOR PROTEIN,P48467
MG,LIGASE,Q5SKN9
MG,TRANSFERASE,2.7.9.1
MN,TRANSFERASE,Q9YEJ7
ZN,HYDROLASE,B5CE28
MG,LYASE,O93627
ZN,LIGASE,Q9YDW0
MG,OXIDOREDUCTASE,P05793
MG,TRANSLATION/HYDROLASE,Q9YAV0
MG,UNKNOWN FUNCTION,P9WKX5
MG,TRANSFERASE,P45985
ZN,HYDROLASE/TRANSFERASE,O66990
MG,TRANSFERASE,Q27686
MG,TRANSFERASE,O95819
ZN,OXIDOREDUCTASE,P42328
ZN,LYASE,Q51669
MG,TRANSFERASE,P00492
MG,TRANSFERASE,P09838
MG,TRANSFERASE,P24348
FE2,OXIDOREDUCTASE,P12530
MG,"HYDROLASE,"2.7.11.1
MN,TRANSFERASE,O05701
FE2,OXIDOREDUCTASE,G2IKE5
MG,TRANSFERASE,Q15119
MG,TRANSFERASE,P00558
MN,ISOMERASE,Q97N97
ZN,OXIDOREDUCTASE,A3MTM6
ZN,HYDROLASE/HYDROLASE INHIBITOR,Q98VG9
ZN,OXIDOREDUCTASE,P07327
ZN,OXIDOREDUCTASE,P40394
FEO,OXIDOREDUCTASE,Q9F0J6
ZN,OXIDOREDUCTASE,Q5SKS4
MG,"OXIDOREDUCTASE,1.1.1.86
MOS,OXIDOREDUCTASE,Q84IX8
MG,ISOMERASE,P32719
MG,LIGASE,Q2RM91
FE2,OXIDOREDUCTASE,Q9WWU5
MN,TRANSFERASE,P17109
MG,PROTEIN BINDING,Q9SCL7
MG,HYDROLASE,
MG,TRANSFERASE,P27707
MG,TRANSFERASE,P31153
ZN,HYDROLASE,Q02853
ZN,OXIDOREDUCTASE,Q7SI09
ZN,HYDROLASE,A1R3U3
MG,TRANSFERASE/TRANSFERASE INHIBITOR,P52564
MN,"TRANSFERASE,2-N-acetylglucosaminyltransferase 1"
FE,HYDROLASE,Q97VT7
NI,OXIDOREDUCTASE,Q08506
MG,LYASE,A9WCM4
MG,TRANSFERASE/TRANSFERASE INHIBITOR,Q9Y5S2
MG,TRANSFERASE,P53355
ZN,HYDROLASE,A4HRG8
MG,LYASE,Q05957
MG,signaling protein / HYDROLASE,P21279
MG,"HYDROLASE,"2.7.11.1
CU,OXIDOREDUCTASE,Q9ZP19
MG,TRANSFERASE,O15648
ZN,Hydrolase/Hydrolase Inhibitor,Q6P179
MG,GLUTAMINE AMIDOTRANSFERASE,P00497
ZN,HYDROLASE,P0A6T5
FE2,OXIDOREDUCTASE,1.13.11.2
ZN,LIGASE,Q8NW68
MG,TRANSFERASE,P21860
MG,LIGASE,O58187
MG,TRANSFERASE,2.7.1.40
ZN,LIGASE/ANTIBIOTIC,6.1.1.3
MN,HYDROLASE,O97193
MN,HYDROLASE,A0A0F7RKF8
MG,MUSCLE PROTEIN,P10587
ZN,LYASE,O97447
MG,TRANSFERASE,P06855
MG,TRANSCRIPTION, 2.7.11.23"
MG,TRANSFERASE ACTIVATOR,P10721
MG,TRANSFERASE/INHIBITOR,P9WHQ9
MG,"Peptide,Serine/threonine-protein kinase PAK 4"
ZN,HYDROLASE,Q949P2
MN,TRANSFERASE,P00549
CO,TRANSFERASE,P09838
ZN,HYDROLASE,P30793
MG,TRANSFERASE,Q9Z1W9
FE,OXIDOREDUCTASE,1.13.11.-
MG,TRANSFERASE,Q6VAB6
ZN,HYDROLASE,P09237
MG,HYDROLASE,Q5SHN6
MG,TRANSFERASE,O15530
ZN,LYASE,Q54735
MG,TRANSFERASE,O75914
ZN,HYDROLASE,P21589
MG,LIGASE,P9WIL5
MG,"SIGNALING PROTEIN,2.7.3.-
MG,TRANSFERASE,Q26997
MG,LYASE,P09029
CU,OXIDOREDUCTASE,P19919
MG,TRANSFERASE,P69441
MG,TRANSFERASE,Q4DRC4
ZN,HYDROLASE,Q4FKC0
ZN,LYASE,P56109
ZN,HYDROLASE,Q0TV31
ZN,LYASE,D0IR47
MN,CELL ADHESION,Q13418
MG,ligase/ligase inhibitor,P9WIL5
MG,HYDROLASE,P0DMV8
ZN,HYDROLASE,B5QNF0
ZN,HYDROLASE,P39900
MG,PEPTIDE SYNTHETASE,P0C061
MG,COMPLEX (TRANSFERASE/SUBSTRATE),P06213
MG,LIGASE,6.1.1.4
ZN,LYASE,P0ACB2
MG,TRANSFERASE, 2.7.10.2"
MN,HYDROLASE,O13297
MN,TRANSFERASE/TRANSFERASE INHIBITOR,Q9H4A3
MG,TRANSFERASE,P00523
MG,TRANSFERASE,P14618
MG,HYDROLASE,P29597
MG,LIGASE,Q9HVZ7
MG,LIGASE,Q5H614
MG,TRANSFERASE/TRANSFERASE INHIBITOR,P37173
MG,LYASE,P0A9G6
MG,TRANSFERASE,P69441
MG,TRANSFERASE,P06213
MG,HYDROLASE,A8A5E6
CU,OXIDOREDUCTASE,Q9Y780
MG,LIGASE,B4RKE7
MG,TRANSFERASE,Q00944
MG,TRANSFERASE,P16641
MG,LIGASE,Q03ZI1
ZN,HYDROLASE,P42892
FE2,OXIDOREDUCTASE,P12530
MG,LYASE,P09029
MG,LIGASE,P25051
MN,TRANSFERASE,A5TY84
MG,TRANSFERASE,P28327
MG,ISOMERASE,P36871
MG,KINASE,P07378
MG,TRANSFERASE,P00519
ZN,HYDROLASE,P76524
MG,TRANSFERASE/TRANSFERASE inhibitor,2.7.1.37
MG,TRANSFERASE,2.7.6.3
MG,HYDROLASE,"3.1.3.11
MN,TRANSFERASE, 2.7.11.1"
MG,TRANSFERASE,Q02750
MN,"TRANSFERASE, chorismate mutase-isozyme 3"
ZN,HYDROLASE,P39900
MG,TRANSFERASE,Q6XHB2
MG,TRANSFERASE,A0A0S2YLC8
MG,MOTOR PROTEIN,Q9C2M3
MG,TRANSFERASE,P29678
MN,HYDROLASE,Q9WYJ7
ZN,HYDROLASE,Q9WYJ7
MG,HYDROLASE,H2L2L6
CO,HYDROLASE,P0A078
MG,TRANSFERASE,Q26997
MN,LYASE,4.1.1.32
MG,HYDROLASE,H2L2L6
MG,HYDROLASE,H2L2L6
MG,HYDROLASE,H2L2L6
MG,LYASE,B5GMG2
MG,TRANSFERASE, 2.5.1.1"
FE2,HYDROGENASE,P07598
FE,HYDROLASE,Q5KX27
MG,HYDROLASE,Q5SJY9
MN,LIGASE,P45066
ZN,HYDROLASE,B0R9W3
MG,LIGASE,P14900
MG,LIGASE,P14900
MG,TRANSFERASE,P37268
MN,ISOMERASE,Q46822
MG,TRANSFERASE,P92208
ZN,ENDONUCLEASE,P24289
MG,TRANSFERASE,2.7.6.3
MG,LIGASE,Q9RHV9
MG,TRANSFERASE,P30291
MG,TRANSFERASE,P30291
MG,LYASE,Q41594
ZN,HYDROLASE,P05187
MG,TRANSFERASE,Q07010
MG,TRANSFERASE,Q5CYE4
MG,LYASE,O81086
MG,LYASE,O81086
MG,LIGASE,Q52428
CO,hydrolase/hydrolase inhibitor,P53582
MG,TRANSFERASE,B5HDJ6
MG,TRANSFERASE,P9WKE5
MG,LIGASE,Q5SHZ3
ZN,HYDROLASE,3.2.1.89
MG,HYDROLASE,"3.1.3.11
MG,HYDROLASE,"3.1.3.11
MG,TRANSFERASE,A3MSH1
MG,TRANSFERASE,P14324
MG,LYASE, 4.2.3.75
CU,OXIDOREDUCTASE,P00441
MG,TRANSFERASE,P9WI81
MG,LYASE,O09460
MN,LYASE,O09460
ZN,HYDROLASE,Q8RQU7
MG,HYDROLASE,Q8RQU7
MOS,OXIDOREDUCTASE,Q0QLF1
MG,LIGASE,P07862
MG,ISOMERASE,O81192
MG,ISOMERASE,O81192
MG,TRANSFERASE/TRANSFERASE INHIBITOR, 2.5.1.10"
MN,HYDROLASE,O33199
MG,HYDROLASE,Q384W5
MN,LIGASE,P0A8N5
MG,TRANSFERASE,Q5CR09
MG,TRANSFERASE,P53778
MN,HYDROLASE,Q57573
MG,TRANSFERASE,Q5WZW9
MG,TRANSFERASE,Q5WZW9
MG,HYDROLASE, putative"
MG,ADP binding protein,A0A183CD52
MG,ADP binding protein,A0A183CD52
MG,LYASE,Q39761
MG,LYASE,Q39761
MG,TRANSFERASE,P13444
MG,TRANSFERASE,P13444
MG,LIGASE,6.1.1.11
MG,LIGASE,6.3.2.13
MN,TRANSFERASE,Q9UGP5
MG,TRANSFERASE,Q9UGP5
FE2,2002-03-28,1.18.99.1
MN,ISOMERASE,Q13907
MN,ISOMERASE,Q13907
MN,ISOMERASE,Q13907
MN,ISOMERASE,Q13907
ZN,HYDROLASE,P48827
MN,TRANSFERASE,"2.4.1.151
MG,TRANSFERASE,P9WI81
MN,TRANSFERASE,2.4.1.87
CO,HYDROLASE,P9WK19
ZN,HYDROLASE,Q9KWY4
MG,LYASE,Q40577
MN,HYDROLASE,P00817
MG,HYDROLASE,P00634
MG,TRANSFERASE,P53350
MG,TRANSFERASE,P05132
MG,PLANT PROTEIN,M1CSC4
MG,PLANT PROTEIN,M1CSC4
MN,LYASE,Q40322
MN,SURFACE ACTIVE PROTEIN,P79073
MG,ISOMERASE,P15587
ZN,PROTEIN BINDING,P38507
MG,UNKNOWN FUNCTION,P38822
CU1,METAL BINDING PROTEIN,P00282
ZN,DNA BINDING PROTEIN,A0A0H3JZ73
MG,STRUCTURAL PROTEIN,Q187N7
ZN,TRANSCRIPTION,P35269
FE2,OXYGEN BINDING PROTEIN,Q60AX2
MG,TRANSPORT PROTEIN,
MG,"PROTEIN BINDING,
ZN,OXIDOREDUCTASE,A0A0F6SD02
MG,CELL ADHESION,P08640
MG,LUMINESCENT PROTEIN,D0VWW2
CU,CARBOHYDRATE,D9SZQ3
MG,PROTEIN TRANSPORT,O07347
ZN,DNA BINDING PROTEIN,Q9RS64
NI,TRANSCRIPTION,O95696
MG,SUGAR BINDING PROTEIN,K1QRB6
CU1,ELECTRON TRANSPORT (CUPROPROTEIN),P56275
ZN,FLAVOPROTEIN,Q81G57
ZN,CELL ADHESION,P33150
ZN,CHAPERONE,P02470
MG,METAL BINDING PROTEIN,Q6LYQ5
